X,Y,Index_,Event_Unique_Id,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-8828119.4322247,5423583.0347697,463,4071110,2011,D33,Stabbing,2011/07/01 04:00:00+00,43,Victoria Village (43),-79.30434616,43.72889221,163
-8818960.28827441,5425677.41436386,464,3984179,2011,D43,Stabbing,2011/07/22 04:00:00+00,139,Scarborough Village (139),-79.22206817,43.74248611,164
-8856933.59965298,5411845.54184621,465,3429437,2011,D22,Shooting,2011/07/29 04:00:00+00,14,Islington-City Centre West (14),-79.56318823,43.65265106,165
-8849131.8232345,5417332.84270993,466,3794249,2011,D12,Other,2011/07/29 04:00:00+00,115,Mount Dennis (115),-79.49310368,43.68830601,166
-8850783.77887439,5417779.29952167,467,4119820,2011,D12,Shooting,2011/07/31 04:00:00+00,115,Mount Dennis (115),-79.50794345,43.69120603,167
-8848080.78579064,5423180.86643191,468,3443263,2011,D31,Stabbing,2011/08/10 04:00:00+00,26,Downsview-Roding-CFB (26),-79.48366205,43.72628152,168
-8849254.16446808,5425773.03082305,469,4082526,2011,D31,Shooting,2011/08/20 04:00:00+00,26,Downsview-Roding-CFB (26),-79.49420269,43.74310665,169
-8842820.17842534,5425482.35856592,470,4131492,2011,D32,Shooting,2011/08/23 04:00:00+00,33,Clanton Park (33),-79.43640521,43.7412202,170
-8850062.66902415,5413728.15009001,471,3721549,2011,D11,Shooting,2011/08/27 04:00:00+00,114,Lambton Baby Point (114),-79.50146561,43.66488611,171
-8822048.73511378,5430307.0118676,472,4137445,2011,D43,Other,2011/09/11 04:00:00+00,137,Woburn (137),-79.24981216,43.77252429,172
-8824083.42386094,5420210.87768648,473,3156934,2011,D41,Shooting,2011/09/17 04:00:00+00,120,Clairlea-Birchmount (120),-79.26809008,43.70699821,173
-8840537.43423046,5411004.37343117,474,4136529,2011,D14,Shooting,2011/10/02 04:00:00+00,81,Trinity-Bellwoods (81),-79.41589897,43.64718351,174
-8816440.4625072,5429215.71103834,475,357703,2010,D43,Shooting,2010/03/11 05:00:00+00,136,West Hill (136),-79.19943219,43.76544497,175
-8827551.67610498,5421700.40010126,476,3887747,2011,D54,Shooting,2011/10/09 04:00:00+00,43,Victoria Village (43),-79.29924592,43.71667004,176
-8827698.88833919,5418267.66765219,477,4156058,2011,D54,Shooting,2011/10/14 04:00:00+00,61,Taylor-Massey (61),-79.30056835,43.69437813,177
-8829119.9172614,5429385.17412531,478,3680160,2010,D41,Other,2010/03/13 05:00:00+00,119,Wexford/Maryvale (119),-79.31333367,43.76654434,178
