Hood#,Total Population,Child0-14,Youth15-24,Seniors65,  Total visible minority population,    South Asian,    Chinese,    Black,    Filipino,    Latin American,    Arab,    Southeast Asian,    West Asian,    Korean,    Japanese,"    Visible minority, n.i.e.",    Multiple visible minorities,  Not a visible minority,Total - Mobility status 5 years ago,  Non-movers,  Movers,Total recent immigrant population in private households by selected places of birth,Middle East/Western Asia,Eastern,South East,Southern,    Other places of birth in Asia,Americas w/o USA,  Europe,  Africa,Total population aged 15 years and over by labour force status ,  In the labour force ,    Unemployed,  Not in the labour force,"  No certificate, diploma or degree","    College, CEGEP or other non-university certificate or diploma",    University certificate or diploma below bachelor level,Total number of private households by tenure,  Owner,  Renter,  % of owner households spending 30% or more of household total income on shelter costs,  Major repairs needed,  Average monthly shelter costs for rented dwellings ($),  Average after-tax family income $ (Family income in 2010 of economic families),Household income in 2010 of private households,  Median household total income $,  Median after-tax household income $
125,13095,2185,1700,1690,9115,2935,945,1635,2220,225,100,255,225,20,50,330,170,3955,12280,6965,5315,1550,0,115,575,430,15,260,40,100,10895,6645,885,4250,2430,1780,660,5070,1985,3085,31.3,455,863,57069,5070,46955,42971
126,24360,4490,3005,3225,17820,7265,2685,2125,2490,470,790,460,400,40,70,430,595,6130,22290,13705,8585,2435,85,305,435,985,35,215,60,180,19485,12095,1375,7390,4045,3075,1245,8525,5290,3235,32.1,535,921,60973,8525,51724,47630
127,27870,4410,3740,4850,18235,7160,4135,1385,2540,530,285,375,710,55,190,405,470,8880,25655,14790,10870,2820,245,510,510,1005,35,165,75,185,22750,13605,1430,9145,4455,3845,1520,9995,6720,3275,29,585,977,65560,9995,55786,51254
128,21990,3160,3110,3435,17785,3630,10480,1275,1035,150,170,215,40,80,100,165,455,4015,20725,12880,7850,2330,0,1365,220,465,85,40,25,60,18595,11030,1175,7565,4065,2730,1150,6885,5250,1635,32.3,590,971,68465,6885,59013,53886
129,30280,4225,4165,5095,27015,5785,16640,1210,1610,105,260,495,210,100,25,225,350,2910,28615,18750,9860,2935,15,1625,315,675,130,60,0,0,25765,14920,1685,10845,5965,3465,1805,9145,7335,1810,32,425,976,67622,9145,60162,55893
130,27160,3795,3735,4350,25355,3765,18045,840,1280,50,170,405,30,40,50,185,495,1315,25395,17095,8305,2755,0,2095,140,370,55,35,0,0,22845,13560,1445,9285,5675,3000,1550,7785,6785,1000,34,325,934,66372,7785,60262,55464
131,45905,8525,6940,4855,36175,17805,2015,6435,4675,880,335,565,415,140,50,1685,1180,9390,42920,29645,13280,2345,0,15,405,1100,15,530,75,105,37010,25100,2475,11915,5675,7380,2495,13060,11260,1805,27.5,375,1082,86997,13060,81553,72784
132,45085,9220,6960,4555,39340,18225,3400,8365,4685,450,310,790,240,105,35,1805,935,5660,42005,26970,15035,3450,65,155,655,1660,40,575,40,170,35625,22320,2905,13305,7380,6360,2115,13415,9510,3900,34.9,965,958,64497,13410,57528,53425
133,13100,2145,1915,1915,4950,1770,560,665,860,95,85,230,140,35,25,225,260,8115,12440,8900,3540,380,0,30,95,50,0,45,40,0,10925,7455,585,3475,1135,2180,685,4280,3965,305,17.9,185,1128,102278,4275,102864,86816
134,13100,1740,2060,2000,9185,4310,940,1370,920,210,0,275,305,65,20,430,320,3695,12420,9510,2910,395,0,25,35,160,0,0,45,65,11170,7350,645,3825,1295,2030,1025,3805,3360,445,17.7,165,909,98857,3805,98087,87321
135,17585,3120,2835,2335,12535,5125,690,2920,2020,210,70,170,360,30,35,595,305,4800,16250,10445,5810,1240,0,70,225,510,15,265,45,45,14210,8715,1110,5500,2405,2680,680,5860,3560,2300,29.7,595,857,66024,5860,54746,50069
136,26550,4945,3925,3605,15835,4470,820,5430,2100,420,180,230,685,70,100,855,475,10430,24780,16090,8685,2080,85,150,620,410,0,440,75,165,21440,12440,1675,9005,4285,4125,1100,9700,5875,3820,24.9,1070,686,65871,9695,49713,46803
137,53350,10300,7580,7445,38715,20985,4105,5170,3785,1070,220,365,1335,105,100,985,495,14285,49495,29770,19725,6030,150,440,560,4060,55,290,115,200,42730,24980,3310,17755,9140,7100,2555,18380,9905,8475,26.6,1640,840,63186,18380,52018,47908
138,22830,4555,3080,3160,16160,6675,975,3770,2310,410,185,345,420,30,95,650,290,6360,20960,12430,8530,2700,165,80,515,1010,10,435,165,265,17930,10505,1490,7425,3975,3130,930,8060,3585,4475,32.4,810,874,57357,8055,46495,42790
139,16615,3490,2460,2010,11455,5115,415,2855,1005,375,110,465,400,65,20,350,285,4835,15095,8530,6565,1870,15,35,145,935,0,355,90,150,12805,7405,1035,5405,2830,1785,735,5905,2715,3195,34,1010,833,61631,5910,42131,40181
140,9815,1295,1075,2520,2370,390,170,480,590,145,0,125,70,30,45,180,120,7240,9235,6705,2530,235,0,0,35,15,0,80,25,30,8340,4975,325,3365,1050,1755,390,3955,3095,860,14.9,185,1081,92858,3955,76055,67678
